ID,Name,Proponent,Project Type,Methodology,Status,Country/Area,Region,Project Registration Date,Sustainable Development Goals
5126,Masaka - Locally made cookstoves in Madagascar,CARBON CREDITS CONSULTING S.R.L.,Energy,,Undergoing validation,Madagascar,Africa,,01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4878,IMPROVED COOKSTOVES DISTRIBUTION IN MOZAMBIQUE – MAPUTO,Eni S.p.A,Energy,,Undergoing validation,Mozambique,Africa,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
4879,IMPROVED COOKSTOVES DISTRIBUTION IN ANGOLA,Multiple Proponents,Energy,,Undergoing validation,Angola,Africa,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
4873,Improved cookstoves distribution in Congo – Pointe-Noire,Multiple Proponents,Energy,,Undergoing validation,Congo,Africa,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
4874,Improved cookstoves distribution in Congo – Brazzaville North,Multiple Proponents,Energy,,Undergoing validation,Congo,Africa,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
4875,Improved cookstoves distribution in Congo – Brazzaville South,Multiple Proponents,Energy,,Undergoing validation,Congo,Africa,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
4660,Legacy Forest Climate Initiative,PotlatchDeltic Corporation,Agriculture Forestry and Other Land Use,,Undergoing validation,United States,North America,,06: Clean Water and Sanitation; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land
4586,Sustainable contributions by Gemcorp India through Socially Responsible Plastic Recycling,Gemcorp Recycling & Technologies Private Limited,Climate change adaption,,Withdrawn,India,,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; 17: Partnerships for the Goals"
4587,Boreal Wildlands Forest Carbon Offset Project,The Nature Conservancy of Canada,Agriculture Forestry and Other Land Use,,Undergoing validation and verification,Canada,North America,,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land
4511,Silvador Climate Action,Multiple Proponents,Agriculture Forestry and Other Land Use,,Undergoing validation and verification,Romania,Europe,,12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land
4416,Improved Cookstove Grouped Project in Papua New Guinea,TEM PNG Cookstoves Project Pte Ltd,Energy,,Validated,Papua New Guinea,Oceania,,01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land
4320,The Philippines VWT Improved Cookstove Program I,Multiple Proponents,Energy,,Under Development,Philippines,Asia,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 13: Climate Action; 15: Life on Land"
4229,RENEW SAKHI - IMPROVED COOKSTOVES - 01,ReNew Power Synergy Private Limited,Energy,,Validated,India,Asia,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4223,D.Light's Improved Cooking Project In Kenya,"d.light design, Ltd",Energy,,Validated,Kenya,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4225,D.Light's Improved Cooking Project In Nigeria,"d.light design, Ltd",Energy,,Validated,Nigeria,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4226,D.Light's Improved Cooking Project In Uganda,"d.light design, Ltd",Energy,,Undergoing validation,Uganda,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4219,IMPROVED COOKSTOVES IN LIBERIA,Carbonibus S.r.l.,Energy,,Validated,Liberia,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land
4157,Installation of high efficiency wood burning cookstoves in Tanzania - Project 3,C-Quest Capital CR Stoves Pte. Ltd.,Energy,,Undergoing validation and verification,Tanzania,Africa,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4151,BioLite Africa Improved Stove Program,BioLite,Energy,,Validated,Rwanda,Africa,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4145,BLACK SOLDIER FLY COMMERCIAL FARMING PROJECT,Chanzi,Food,,Undergoing validation,Tanzania,Africa,,"02: Zero Hunger; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 12: Responsible Consumption and Production; 13: Climate Action"
4134,Burkina Faso Roumde Improved Cookstove Program I,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Energy,,Under Development,Burkina Faso,Africa,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land"
4093,Socially Responsible Plastic Waste Collection and Recycling Initiative by Gemcorp India,Gemcorp Recycling & Technologies Private Limited,Climate change adaption,,Undergoing validation and verification,India,Asia,,"01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land; 17: Partnerships for the Goals"
4062,INSTALLATION OF HIGH EFFICIENCY COOKSTOVES IN SUB SAHARAN AFRICA BY ECC,ECOA Climate Capital,Energy,,Withdrawn,Kenya,,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4044,IMPROVED COOKSTOVES DISTRIBUTION IN MOZAMBIQUE – SOFALA AND MANICA PROVINCES,Eni S.p.A.,Energy,,Undergoing validation,Mozambique,Africa,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
4037,Installation of High Efficient Cook Stoves by Enking International (VCS ID 2473),EKI Energy Services Limited,Energy,,Withdrawn,India,,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4038,Installation of High Efficient Cook Stoves by EKI Energy Services Limited (VCS ID 2664),EKI Energy Services Limited,Energy,,Withdrawn,India,,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4039,Global Cookstove Program (EKI Phase 03) (VCS ID 2941),EKI Energy Services Limited,Energy,,Withdrawn,India,,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
4026,Angola Caraculo PV Plant,Solenova Ltd,Energy,,Under Development,Angola,Africa,,07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action
3985,Grouped Electric bikes project in Africa,SPIRO HOLDCO,Transport,,Undergoing validation,Togo,Africa,,"01: No Poverty; 05: Gender Equality; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 13: Climate Action"
3941,Installation of high efficiency wood burning cookstoves in South Africa,C-Quest Capital CR Stoves Pte. Ltd.,Energy,,Under Development,South Africa,Africa,,03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3935,Angovo Maharitra,CARBON CREDITS CONSULTING S.R.L.,Energy,,Undergoing validation,Madagascar,Africa,,01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3936,Mila Rano - Safe water access for Madagascar,CARBON CREDITS CONSULTING S.R.L.,Water access and sanitation,,Undergoing validation,Madagascar,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3904,Shine I – Distribution of LED Lightbulbs in South India,C-Quest Capital SG India LED Private Limited,Energy,,Undergoing validation,India,Asia,,04: Quality Education; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action
3905,Shine I – Distribution of LED Lightbulbs in North India,C-Quest Capital SG India LED Private Limited,Energy,,Undergoing validation,India,Asia,,04: Quality Education; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action
3906,Shine I – Distribution of LED Lightbulbs in North-East India,C-Quest Capital SG India LED Private Limited,Energy,,Undergoing validation,India,Asia,,04: Quality Education; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action
3907,Shine I – Distribution of LED Lightbulbs in East India,C-Quest Capital SG India LED Private Limited,Energy,,Undergoing validation,India,Asia,,04: Quality Education; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action
3883,Shuzhou Adjusted Water Management in Rice Cultivation,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3884,Installation of high efficiency cookstoves in Sub Saharan Africa by BURN,ECOA Climate Capital,Energy,,Undergoing validation,Kenya,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3881,EMPOWERING COMMUNITIES THROUGH IMPROVED COOKSTOVES,Carbon Kind Ltd,Energy,,Undergoing validation and verification,Togo,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3835,Grouped projects for water purifiers for climate and community action – Phase 2,Sustainability Investment Promotion and Development Joint Stock Company,Water access and sanitation,,Undergoing validation,Viet Nam,Asia,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3836,Grouped Projects for Viet Nam Cookstove Program – Phase 2,Sustainability Investment Promotion and Development Joint Stock Company,Energy,,Undergoing validation,Viet Nam,Asia,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3794,Adjusted Water Management in Rice Cultivation in Jintang County,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3732,Adjusted Water Management in Rice Cultivation in Xindu District,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3716,Adjusted Water Management in Rice Cultivation in Anzhou District,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3717,Adjusted Water Management in Rice Cultivation in Jiangyou City,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3721,Adjusted Water Management in Rice Cultivation in Yilong County,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3722,Adjusted Water Management in Rice Cultivation in Xionghe Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,,Withdrawn,China,Asia,,01: No Poverty; 02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3723,Adjusted Water Management in Rice Cultivation in Baimasi Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,,Withdrawn,China,Asia,,01: No Poverty; 02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3724,Adjusted Water Management in Rice Cultivation in Tanqiao Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,,Under Development,China,Asia,,01: No Poverty; 02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3712,Adjusted Water Management in Rice Cultivation in Shagang Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,,Under Development,China,Asia,,01: No Poverty; 02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3695,Ningxiang Adjusted Water Management in Rice Cultivation,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3691,Safe Drinking Water Supply Project in the Rural Area of Senegal,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Water access and sanitation,,Under Development,Senegal,Africa,,02: Zero Hunger; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 10: Reduced Inequalities; 13: Climate Action; 15: Life on Land
3683,Adjusted Water Management in Rice Cultivation in Yuyao City,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3684,Adjusted Water Management in Rice Cultivation in Shangyu District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3685,Adjusted Water Management in Rice Cultivation in Nanxun District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3686,Adjusted Water Management in Rice Cultivation in Haining City,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3687,Adjusted Water Management in Rice Cultivation in Xiuzhou District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3660,Papariko - Restoration of Degraded Mangrove Areas in Kenya,Vlinder Austria GmbH,Agriculture Forestry and Other Land Use,,Undergoing validation,Kenya,Africa,,01: No Poverty; 02: Zero Hunger; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 13: Climate Action; 14: Life Below Water; 15: Life on Land
3656,Agoro Carbon USA Pastureland Program,Agoro Carbon Alliance US Inc.,Agriculture Forestry and Other Land Use,,Under Development,United States,North America,,"02: Zero Hunger; 04: Quality Education; 06: Clean Water and Sanitation; 09: Industry, Innovation and Infrastructure; 13: Climate Action; 15: Life on Land"
3634,Agoro Carbon USA Cropland Program,Agoro Carbon Alliance US Inc.,Agriculture Forestry and Other Land Use,,Under Development,United States,North America,,"02: Zero Hunger; 04: Quality Education; 06: Clean Water and Sanitation; 09: Industry, Innovation and Infrastructure; 13: Climate Action; 15: Life on Land"
3599,Grouped Projects for Safe Drinking Water for Schools in Viet Nam,Sustainability Investment Promotion and Development Joint Stock Company,Water access and sanitation,,Undergoing validation,Viet Nam,Asia,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3461,Methane avoidance in rice cultivation in South of Linxiang District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Climate change adaption,,Undergoing verification,China,Asia,,02: Zero Hunger; 08: Decent Work and Economic Growth; 13: Climate Action
3421,Methane avoidance in rice cultivation in East of Junshan District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Climate change adaption,,Undergoing verification,China,Asia,,02: Zero Hunger; 08: Decent Work and Economic Growth; 13: Climate Action
3423,Methane avoidance in rice cultivation in West of Junshan District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Climate change adaption,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 08: Decent Work and Economic Growth; 13: Climate Action
3398,Methane avoidance in rice cultivation in East of Yueyang County,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Climate change adaption,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 08: Decent Work and Economic Growth; 13: Climate Action
3399,Methane avoidance in rice cultivation in Central of Yueyang County,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Climate change adaption,,Undergoing verification,China,Asia,,02: Zero Hunger; 08: Decent Work and Economic Growth; 13: Climate Action
3400,Methane avoidance in rice cultivation in North of Yueyang County,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Climate change adaption,,Undergoing verification,China,Asia,,02: Zero Hunger; 08: Decent Work and Economic Growth; 13: Climate Action
3401,Methane avoidance in rice cultivation in South of Yueyang County,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Climate change adaption,,Undergoing verification,China,Asia,,02: Zero Hunger; 08: Decent Work and Economic Growth; 13: Climate Action
